,msa,state,FIPS,GTCBSA,sex,q7_family_members,NO family,Family Available,age,Education,income_short,recage,racethn,weight
1024,0,Pennsylvania,42117,,Female,1 up to 5,0,1,36,some_college,50-75k,35-44,Other,4.716981132
1026,42540,Pennsylvania,42079,42540,Female,11 up to 20,0,1,44,college_degree,50-75k,35-44,White~H,2.245283019
1027,0,Pennsylvania,42079,42540,Male,6 up to 10,0,1,51,some_college,50-75k,45-54,White~H,3.979166667
1030,47900,Virginia,51153,47900,Male,6 up to 10,0,1,41,highschool,50-75k,35-44,Hispanic,2.547169811
1061,40380,New York,36055,40380,Female,None,1,0,45,post_college_degree,50-75k,45-54,White~H,3
1062,40380,New York,36069,40380,Male,More than 20,0,1,72,highschool,50-75k,65+,White~H,2.377358491
1070,40380,New York,36055,40380,Male,1 up to 5,0,1,59,college_degree,50-75k,55-64,White~H,1.80952381
1089,14460,New Hampshire,33011,31700,Male,6 up to 10,0,1,47,college_degree,50-75k,45-54,White~H,2.770833333
1092,0,Massachusetts,25017,14460,Male,1 up to 5,0,1,67,post_college_degree,50-75k,65+,White~H,1.261904762
1097,43620,South Dakota,46099,43620,Male,None,1,0,48,trade_school_hs,50-75k,45-54,White~H,2.8125
1099,43620,South Dakota,46099,43620,Male,11 up to 20,0,1,20,some_college,50-75k,18-24,White~H,1.708333333
1102,0,Kentucky,21115,,Female,1 up to 5,0,1,33,lt_highschool,50-75k,25-34,White~H,6.071428571
1111,0,New York,36017,,Male,11 up to 20,0,1,20,highschool,50-75k,18-24,White~H,2.19047619
1112,0,New York,36025,,Female,1 up to 5,0,1,55,some_college,50-75k,55-64,White~H,1.773584906
1119,0,Wisconsin,55081,,Female,More than 20,0,1,66,some_college,50-75k,65+,White~H,1
1136,37980,New Jersey,34005,37980,Male,11 up to 20,0,1,62,highschool,50-75k,55-64,Black~H,4.285714286
1145,37980,Pennsylvania,42029,37980,Male,None,1,0,53,post_college_degree,50-75k,45-54,White~H,1.396226415
