GTCBSA,NAME,ALAND,SQRT_ALAND,POP,LOG_POP,POP_DEN,L_POPDEN,POP15,L_POP15DEN,LOG_POP15,POP15_DEN,TUFINLWGT,AVG_FAMILY_TIME,AVG_FAMILY_IX,AVG_HHFAMILY_TIME,AVG_HHFAMILY_IX,AVG_NHFAMILY_TIME,AVG_NHFAMILY_IX,AVG_FRIEND_TIME,AVG_FRIEND_IX,AVG_CCC_TIME,AVG_CCC_IX,AVG_NHSOCIAL_TIME,AVG_NHFAMILY_SOCIAL_TIME_RATIO,AVG_TRIP_TO_NHFAMILY_DUR,RESP_COUNT
45780,"Toledo, OH",1616.9672938419,40.21153185147141,644137,5.81,398.36,2.600275723698921,524985,2.511442161011648,5.72,324.67,533260618.856179,330.66,0.77,234.74,0.64,137.83,0.5,71.39,0.29,163.34,0.34,372.57,0.36,8.95,69
45820,"Topeka, KS",3232.6952545602,56.85679602791736,232778,5.37,72.01,1.857392810920901,187073,1.762453482363547,5.27,57.87,298518317.033139,338.17,0.88,270.95,0.74,95.18,0.33,38.25,0.2,112.18,0.42,245.6,0.19,4.91,37
45940,"Trenton-Princeton, NJ",224.4390678387,14.981290593226607,367922,5.57,1639.3,3.214658438879918,303257,3.130713208237078,5.48,1351.18,410622968.073427,325.7,0.85,262.87,0.79,83.11,0.48,49.21,0.33,129.15,0.33,261.47,0.25,8.48,47
46060,"Tucson, AZ",9188.638564248,95.85738659199926,1027207,6.01,111.79,2.04840295615274,847479,1.964872208637775,5.93,92.23,1212835308.112176,398.53,0.87,335.23,0.78,90.31,0.39,36.8,0.17,117.95,0.26,245.06,0.28,6.87,156
46140,"Tulsa, OK",6270.1913143584,79.18453961701363,990544,6.0,157.98,2.198602109489712,786377,2.098366796439331,5.9,125.42,1304300293.331548,326.97,0.75,279.29,0.67,77.73,0.28,46.76,0.2,160.54,0.36,285.02,0.21,3.45,153
46340,"Tyler, TX",921.4679159829,30.35569000999483,227449,5.36,246.83,2.392397943216372,180770,2.292654730197987,5.26,196.18,297602065.362984,285.82,0.7,234.43,0.68,63.93,0.32,50.89,0.26,222.44,0.55,337.25,0.23,4.48,29
46520,"Urban Honolulu, HI",600.6220348986,24.507591372850168,984821,5.99,1639.67,3.214756450730583,807474,3.12852850379744,5.91,1344.4,829063154.867701,404.25,0.84,343.48,0.8,89.88,0.37,17.88,0.22,117.05,0.34,224.81,0.29,6.4,91
46540,"Utica-Rome, NY",2623.855866489,51.22358701310364,292016,5.47,111.29,2.046456142412592,241031,1.963126441081905,5.38,91.86,329418819.53870803,263.38,0.72,236.61,0.67,40.8,0.24,74.29,0.36,122.78,0.24,237.88,0.18,5.26,32
46700,"Vallejo, CA",821.8245384063,28.667482247422775,441829,5.65,537.62,2.730475416534002,359655,2.641107085692552,5.56,437.63,306016188.270591,364.68,0.91,290.16,0.76,114.21,0.48,100.7,0.33,151.95,0.41,366.86,0.25,13.8,39
47220,"Vineland-Bridgeton, NJ",483.35791393889997,21.985402291950447,151906,5.18,314.27,2.497302925540968,121649,2.400831449116225,5.09,251.67,129891113.81012401,376.7,0.82,332.59,0.72,50.21,0.36,22.58,0.31,105.9,0.21,178.7,0.22,6.13,15
